club_id,season,transfer_spending
46,2013,21590000.0
46,2014,700000.0
46,2015,55000000.0
46,2016,89030000.0
46,2017,109600000.0
46,2018,42600000.0
46,2019,172200000.0
46,2020,121500000.0
46,2021,36550000.0
46,2022,54700000.0
47,2013,0.0
47,2014,0.0
47,2015,0.0
47,2016,0.0
47,2018,0.0
47,2021,0.0
47,2022,0.0
48,2013,0.0
48,2014,750000.0
48,2016,0.0
48,2017,0.0
48,2019,0.0
48,2022,150000.0
50,2021,0.0
52,2013,0.0
52,2014,0.0
52,2015,0.0
52,2017,0.0
52,2018,0.0
52,2020,0.0
52,2021,0.0
52,2022,0.0
53,2013,0.0
53,2022,0.0
56,2015,0.0
56,2019,0.0
56,2022,0.0
58,2013,6500000.0
58,2014,400000.0
58,2015,0.0
58,2016,9400000.0
58,2017,12700000.0
58,2018,8650000.0
58,2019,20830000.0
58,2020,3300000.0
58,2021,12000000.0
58,2022,7990000.0
60,2013,4000000.0
60,2014,2300000.0
60,2015,1250000.0
60,2016,14830000.0
60,2017,9500000.0
60,2018,16500000.0
60,2019,9000000.0
60,2020,13700000.0
60,2021,9500000.0
60,2022,17950000.0
61,2015,0.0
61,2019,0.0
61,2022,0.0
62,2014,0.0
62,2015,800000.0
62,2016,0.0
62,2017,0.0
62,2018,1600000.0
62,2019,0.0
62,2020,3615000.0
62,2021,5110000.0
62,2022,2600000.0
63,2015,0.0
64,2015,0.0
64,2019,0.0
64,2022,0.0
65,2013,0.0
65,2014,0.0
65,2015,0.0
65,2016,0.0
65,2017,250000.0
65,2018,200000.0
65,2019,0.0
65,2020,0.0
65,2021,300000.0
65,2022,1630000.0
66,2020,0.0
68,2018,0.0
68,2019,0.0
69,2014,0.0
69,2018,0.0
71,2015,50000.0
71,2016,0.0
72,2014,0.0
72,2016,0.0
72,2018,0.0
72,2022,0.0
73,2014,0.0
73,2016,0.0
75,2013,0.0
75,2014,0.0
75,2015,0.0
75,2016,0.0
75,2017,0.0
75,2018,0.0
75,2019,0.0
75,2020,0.0
75,2021,0.0
75,2022,0.0
76,2013,0.0
76,2015,0.0
76,2016,0.0
76,2018,0.0
76,2019,0.0
76,2021,0.0
76,2022,0.0
77,2017,183000.0
79,2013,0.0
79,2014,6000000.0
79,2015,2500000.0
79,2016,9000000.0
79,2017,10200000.0
79,2018,39760000.0
79,2019,18100000.0
79,2020,14200000.0
79,2021,16850000.0
79,2022,12950000.0
80,2013,0.0
80,2014,0.0
80,2015,500000.0
80,2016,0.0
80,2017,0.0
80,2018,450000.0
80,2019,400000.0
80,2020,0.0
80,2021,0.0
80,2022,635000.0
81,2013,0.0
81,2014,0.0
81,2015,0.0
81,2016,0.0
81,2018,0.0
81,2019,0.0
81,2020,0.0
81,2021,0.0
82,2013,22000000.0
82,2014,1500000.0
82,2015,4500000.0
82,2016,65500000.0
82,2017,29500000.0
82,2018,16000000.0
82,2019,33700000.0
82,2020,20000000.0
82,2021,76780000.0
82,2022,36250000.0
83,2021,0.0
84,2017,0.0
84,2021,0.0
84,2022,0.0
85,2014,0.0
85,2016,0.0
85,2019,0.0
85,2021,0.0
85,2022,0.0
86,2013,2250000.0
86,2014,100000.0
86,2015,1180000.0
86,2016,10500000.0
86,2017,15600000.0
86,2018,18050000.0
86,2019,10000000.0
86,2020,11000000.0
86,2021,4200000.0
86,2022,4000000.0
87,2015,0.0
87,2017,0.0
87,2018,150000.0
87,2021,0.0
89,2014,0.0
89,2015,268000.0
89,2016,2700000.0
89,2017,300000.0
89,2018,550000.0
89,2019,7150000.0
89,2020,1500000.0
89,2021,17200000.0
89,2022,24150000.0
90,2018,0.0
91,2015,0.0
91,2016,0.0
91,2019,0.0
91,2020,0.0
91,2021,0.0
92,2018,0.0
93,2019,0.0
93,2020,0.0
93,2021,0.0
93,2022,0.0
94,2017,50000.0
94,2018,0.0
94,2019,0.0
94,2021,0.0
95,2019,0.0
95,2020,0.0
101,2020,0.0
102,2013,0.0
102,2014,0.0
102,2016,0.0
102,2021,0.0
104,2016,0.0
105,2014,0.0
105,2015,500000.0
105,2016,350000.0
105,2017,1000000.0
105,2018,650000.0
105,2019,2150000.0
105,2020,0.0
105,2021,0.0
105,2022,3200000.0
107,2013,0.0
108,2018,0.0
108,2019,0.0
108,2020,300000.0
108,2021,0.0
108,2022,0.0
109,2013,0.0
109,2015,0.0
109,2017,0.0
109,2018,0.0
109,2019,0.0
109,2020,0.0
109,2022,0.0
111,2021,0.0
113,2015,0.0
113,2017,0.0
113,2018,0.0
114,2013,200000.0
114,2014,4500000.0
114,2015,3300000.0
114,2016,0.0
114,2017,5100000.0
114,2018,900000.0
114,2019,6500000.0
114,2020,0.0
114,2021,6550000.0
114,2022,35550000.0
116,2013,0.0
116,2015,0.0
116,2018,0.0
116,2020,0.0
119,2014,0.0
119,2015,3600000.0
119,2016,720000.0
119,2017,0.0
119,2018,0.0
119,2019,130000.0
119,2020,0.0
119,2021,515000.0
119,2022,0.0
120,2020,0.0
120,2021,0.0
120,2022,0.0
121,2013,24000000.0
121,2014,7000000.0
121,2016,0.0
121,2017,1935000.0
121,2018,500000.0
121,2019,39800000.0
121,2020,13965000.0
121,2021,12620000.0
121,2022,10400000.0
122,2015,0.0
122,2017,75000.0
122,2018,0.0
122,2019,0.0
122,2020,1200000.0
122,2021,2450000.0
122,2022,5440000.0
124,2013,0.0
124,2014,0.0
124,2015,342000.0
124,2016,0.0
124,2017,1500000.0
124,2018,5905000.0
124,2019,11335000.0
124,2020,8700000.0
124,2021,2300000.0
124,2022,14310000.0
126,2015,586000.0
126,2016,1200000.0
126,2017,500000.0
126,2018,1000000.0
126,2019,122000.0
126,2020,400000.0
126,2021,0.0
126,2022,529000.0
127,2014,0.0
127,2015,1500000.0
127,2016,0.0
127,2017,0.0
127,2018,0.0
127,2019,400000.0
127,2020,0.0
127,2021,700000.0
127,2022,0.0
128,2013,0.0
128,2015,0.0
128,2016,0.0
128,2018,0.0
128,2019,0.0
128,2020,0.0
129,2013,0.0
129,2014,0.0
129,2015,0.0
129,2016,0.0
129,2017,2160000.0
129,2018,0.0
129,2019,1100000.0
129,2020,0.0
129,2021,0.0
129,2022,0.0
130,2013,0.0
130,2014,100000.0
130,2016,0.0
130,2017,3480000.0
130,2018,0.0
130,2019,5373000.0
130,2020,68630000.0
130,2021,25330000.0
130,2022,10800000.0
131,2013,0.0
131,2014,42000000.0
131,2015,0.0
